text,adaptive,corrective,perfective
"Issue #2169455 by drunken monkey: Fixed ""undefined index"" in search_api_update_7116().
",0,1,0
"Issue #2198791 by drunken monkey: Fixed empty Views entity filters.
",0,1,0
"Issue #2179755 by drunken monkey, fago: Fixed whitespaces after HTML filter.
",0,1,0
"Issue #2135697 by drunken monkey: Fixed handling of HTML attributes in the Highlighting processor.
",0,1,0
"Issue #2219553 by drunken monkey: Fixed Views fulltext filter operators.
",0,1,0
"Issue #2265349 by drunken monkey: Marked _search_api_settings_equals() as deprecated.
",0,0,1
"Adapted CHANGELOG.txt to 1.12 release.
",0,0,0
"Back to dev version.
",0,0,0
"Issue #2278791 by drunken monkey | tksmd: Fixed excerpt when searching single CJK word.
",0,1,0
"Fixed signature of the SearchApiViewsQuery::getOption() proxy method.
",0,1,0
"Adapted CHANGELOG.txt to 1.13 release.
",0,0,0
"Back to dev version.
",0,0,0
"Issue #2278737 by drunken monkey: Fixed use of multiple Views fulltext search filters.
",0,1,0
"Issue #2305627 by drunken monkey, cpliakas: Fixed date facets not displayed when the configured granularity is larger than the calculated granularity.
",0,1,0
"Issue #1372092 by drunken monkey: Added an error message when no service class is available when creating a server.
",1,0,0
"Issue #2305755 by drunken monkey, pfrenssen: Fixed invalidation of the stored index fields cache.
",0,1,0
"Fixed error message in search_api_search_api_query_alter().
",0,1,0
"Issue #2174163 by drunken monkey: Fixed detection of field type changes by data alterations.
",0,1,0
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"updated licenses
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
",0,0,1
"Fixes bug in generation of Java bundle key hovers.
",0,1,0
"Fixes minor bugs.
",0,1,1
"Fixes minor bugs

",0,0,1
"Fixes minor bugs
",0,1,1
"Fixes minor bugs
",0,1,1
"Fixes minor bugs
",0,1,0
"adapt plugin versions
",0,0,1
"Releases V0.0.2
",0,0,1
"Fixing typo and minor bug.
",0,1,1
"Fixes configuration bugs.
",0,1,0
"Adapts product configuration.
",0,0,1
"Fixing resource save error.
",0,0,1
"Creating private branch for the implementation of key refactoring functionality.

",0,0,0
"removes  and  plug-ins
",0,0,0
"removes essiembre resource bundle editor
",0,0,0
"adds the plug-ins  and
",1,0,0
"adds missing folders in  plug-in
",0,1,0
"adds missing icons folder for
",0,1,0
"removes ui core
",0,0,0
"adds ui core
",1,0,0
"Creates `stable` branch.

The stable branch is copied from `issue-32` and used for getting a stable release that is based on the babel editor plug-in.

",0,0,1
"Creates branch `master`

",0,0,1
"Adapts babel core for supporting a Compiler compliance level of 1.5.

Revoves @Override annotation that lead to export errors with a configured compiler compliance level of 1.5.

",0,0,1
"Removes unused dependencies/imports.

First step of cleaning up the current codebase. All Java imports have been revisited and organized.

",0,0,1
"Prototypes marker update approach.

Gets the markers current position information from the abstract marker annotation model.

",1,0,0
"Cleans up plugin configuration files.

Cleans up build properties.

",0,0,1
"Merges  into .
",0,0,0
"removes the outdated package namespace `at.ac.tuwien.inso.tapiji`.

",0,0,1
"Adapts the translator for using the messages editor.

",1,0,0
"Defines the babel editor dependency to the PDE as optional.

Fixes Issue 45.
Fixes Issue 51.
Uses Java reflection for accessing PDE related classes. If the PDE plug-in isn't loaded within the currently executed Eclipse instance, the Babel editor skips checks for Fragment projects.
Also fixes a minor typo within the babel editor UI.


",1,0,0
"removes remaining eclipselabs package stubs.

",0,0,0
"Renames also the plugin directories.


",0,0,1
"Removes the unused completion proposal `ValueOfResourceBundleProposal`.

",0,0,1
"Fixes some critical auto-complete issues.

Addresses Issue 62
Open issues:
 * Calling auto-complete in the middle of a string, leads to wrong outcome.
 * Calling auto-complete in bundle context (without string literal context) leads to wrong result.


",0,1,0
"Fixes further critical problems with auto-completion.

",0,1,0
"Final cleanup of the java auto-complete functionality.

Open point:
 * use start and end session callbacks

",0,1,0
"Disables tapiji auto-complete, when the user types non-string-literals.

Fixes Issue 63

",1,0,0
"increases generation performace of auto-complete proposals.

Fixes Issue 62.

",0,0,1
"Renames `StringLiteralAuditor` to `I18nBuilder`.

Addresses Issue 72.

",0,0,1
"Encapsulates extension point management into `ExtensionManager`.

Fixes Issue 72.

Applied changes:
 * Extract extension point handling into the new static manager class `ExtensionManager`
 * Removes the static initialization block from `I18nBuilder`

",0,0,1
"Adds missing code license headers.

Adresses Issue 75.

",0,0,1
"Renames `tapiji.tools.java` to `tapiji.tools.java.ui`

",0,0,1
"Adds the new project `tapiji.tools.java`.

",0,0,1
"Separates core and ui concerns for the java extension plug-in.

",0,0,1
"Adapts license headers.

Fixes Issue 75.
Adds Contributors section.
",0,0,1
"Adds contribution comments for Michael Gasser.

",0,0,0
"Cleans up `tapiji.tools.java.ui`.

",0,1,0
"Cleans up build stragegy.

",1,0,0
"Improves performance of building resource / cleans up projects.

Fixes Issue 76.

Touches resources after creating a new resource bundle entry.

",0,0,1
"
",0,0,1
"Separates UI and non-UI concerns for the core plug-in.

Contributes Issue 73.
 * Adapts the Activator to extend `Plugin` instead of `AbstractUiPlugin`
 * Moves marker and nature management to `core.ui`

",0,0,0
"Adds missing resources to translator plug-in.

",0,1,0
"Fixes marker update problem in Messages editor.

Fixes Issue 79.

",0,1,0
"Minor clean up.

",0,0,1
"Updates license headers.

",0,0,1
"Creates new master from stable.

",0,0,0
"Deletes branch master.

",0,0,0
"Renames branch 'master_tmp' to 'master'.

",0,0,0
"Removes out-dated LGPL sources and adapts copyright headers.

The wording ""TapiJI"" located in the copyright header has been replaced with a list of all contributors that have modified a particular file.

",0,0,1
"Fixes bugs in nature assignment.

",0,1,0
"Fixes bug in CreateResourceBundleEntryDialog.

",0,1,0
"Fixes startup exception in rbmanager plugin and detects bundles during startup.

Fixes Issue 87
References Issue 50
Fixes a excetption within the ResourceBundleDetectionVisitor that occurred during startup. Moreover, the TapiJI core triggers a search for Resource bundles directly after startup.


",0,1,0
"Fixes bug in loading resource bundles.

During startup some resource bundles are not detected. The reason therefore was an inproperly handled exception. This change adapts exception handling as well as bundle loading.

",0,1,0
"Merges revisions 500-560 from stable into master branch.

",0,0,0
"Merges stable into master.


",0,0,0
"Merges stable into master.

",0,0,0
"Merges stable into master.

",0,0,0
"Fix NPE during startup of translator application.

Fixes NPE during lookup of project name for RCP translator.

",0,1,0
"Update about.html files.
",1,0,0
"Remove org.eclipse.babel.tapiji.translator.rbe plug-in.


",0,0,1
"Merge branch 'stable' into branch 'master'

Conflicts:
	org.eclipse.babel.core/src/org/eclipse/babel/core/message/internal/MessagesBundleGroup.java
	org.eclipse.babel.core/src/org/eclipse/babel/core/message/strategy/PropertiesFileGroupStrategy.java
	org.eclipse.babel.tapiji.translator.rbe/META-INF/MANIFEST.MF
",0,0,0
"Replaces new PDEUtils merged from stable branch with old PDE Utils.

We prefer using the new PDEUtils class written by Stefan Reiterer. But since this class brings us a direct dependency to the PDE package, we must replace it with the old implementation. Otherwise, the translator cannot use it, because it runs outside the PDE environment.
",1,0,0
"Adds gitignore file.
",0,0,1
"Removes the outdate plug-in 'org.apache.commons.io'.
",0,0,1
"[RAP] Removes outdated encryption project from warfile definition.
",0,0,1
"Massive whitespace replacement (kill trailing spaces & spaces instead of tabs)
",0,0,1
"Define gitignore rules for project binaries and local settings.

Cleans up plug-in projects by removing `.setting` folders. For preventing the checkin of binary data and local settings, a `.gitignore` file has been specified.
(cherry picked from commit 604412a22d0e7fc0480489a76affe0c55d885d06)

Conflicts:

	.gitignore
	org.eclipse.babel.editor/.settings/org.eclipse.jdt.core.prefs
",0,0,1
"Removes icon folder from the tool's core plugin.

Since all UI specific concerns are part of the *.ui plug-ins, the icon folder within the tool's core plug-in does not fit the coding conventions and must be removed.
(cherry picked from commit 10f451944f14261f2d425dd085705e2db00df76b)
",0,0,1
"Cleans up build properties and plugin description files.

Based on previous refactorings, build properties got out-of-sync with the plug-in content. This change also cleans warnings from `plugin.xml` files.
(cherry picked from commit 9ae85d634223cec5c208e29c63b81c773fccf0be)
",0,0,1
"Remove unused icons from org.eclipse.babel.tapiji.tools.core.ui

The tool's core.ui plugin contained various unused icons. Some of them were original photoshop drafs and others are relicts from prototypical enhancements. This change removes all unused and temporal icons.
(cherry picked from commit 7cf7e3c7e6fb8f0c983929bda0a281a8d18efe91)
",0,0,1
"Removes outdated dependency to org.apache.io lib.
",0,0,1
"Fix error while restoring UI state if memento files are not present.

If the Eclipse IDE is started the first time with internationalization support, the TapiJI managed memento files are not present within the workspace. This changeset prevents an exception during startup if the state file is not found.
(cherry picked from commit 9a915cc7ecb994b9aef66a7648592ed36e27b89b)

Conflicts:

	org.eclipse.babel.tapiji.tools.core.ui/src/org/eclipse/babel/tapiji/tools/core/ui/ResourceBundleManager.java
	org.eclipse.babel.tapiji.tools.core.ui/src/org/eclipse/babel/tapiji/tools/core/ui/decorators/ExcludedResource.java
	org.eclipse.babel.tapiji.tools.core.ui/src/org/eclipse/babel/tapiji/tools/core/ui/memento/ResourceBundleManagerStateLoader.java
	org.eclipse.babel.tapiji.tools.core/src/org/eclipse/babel/tapiji/tools/core/Logger.java
",1,0,0
"Fixes bug in I18nBuilder.

If a full build is triggered, then only errors from the last parsed file were reported. This change fixes that problem.
",0,1,0
"Removes outdated dependency to org.eclipse.pde.core from the message editor's core plug-in.
(cherry picked from commit 1cb6c1c78aa88192b2a65c93ef3689d38cdf539c)

Conflicts:

	org.eclipse.babel.core/META-INF/MANIFEST.MF
",0,0,1
"Cleans up build scripts.
(cherry picked from commit 217a1d57903e87fc44a3ece7a69940943f33cb9f)

Conflicts:

	org.eclipse.babel.core/src/org/eclipse/babel/core/message/resource/ser/PropertiesDeserializer.java
	org.eclipse.babel.editor/build.properties
	org.eclipse.babel.tapiji.tools.build/build/maps/tapiji.map
",0,0,1
"Cleans up build information for the tool suite's core plug-ins
(cherry picked from commit 7aecbae043424f907a2445c85e9f98b1ecaa8792)

Conflicts:

	org.eclipse.babel.tapiji.tools.core/build.properties
",0,0,1
"Defines build process for babel tool suite
(cherry picked from commit 263c922fbabc49b79e1f4253a271fe842307aa27)

Conflicts:

	org.eclipse.babel.tapiji.tools.build/build.properties
	org.eclipse.babel.tapiji.tools.build/customTargets.xml
",1,0,0
"Adds build support using tycho and maven

This changeset adds the following new projects:
 * `org.eclipse.babel.tapiji.tools.parent`: Encapsulates the root pom file for maven and all commom pom settings
 * `org.eclipse.babel.tapiji.tools.target`: Specifies the target platform used for building the babel tool suite

Moreover, each project has been enhanced with a pom build definition that inherits from the pom located in `org.eclipse.babel.tapiji.tools.parent`.
(cherry picked from commit 48aed06137da06e7adaa9ba66b0ea674d33a2a24)

Conflicts:

	.gitignore
	org.eclipse.babel.core/.classpath
	org.eclipse.babel.core/.project
	org.eclipse.babel.core/build.properties
	org.eclipse.babel.editor.nls/.project
	org.eclipse.babel.editor/.classpath
	org.eclipse.babel.editor/.project
	org.eclipse.babel.editor/build.properties
	org.eclipse.babel.tapiji.tools.feature/.project
	org.eclipse.babel.tapiji.tools.java.feature/build.properties
",1,0,0
"Clean up of maven pom configuration
(cherry picked from commit d2988fea31413ad82247042a9c87070dbb02776d)
",0,0,1
"Removes outdated PDE build project

The PDE build based buildscript project is outdated now. It has already been replaced by a tycho based build approach. This change removes the outdated project files.
(cherry picked from commit 40ac64a981cd719c07a30eb2bbb0c67a4e82a1a0)
",0,0,1
"Adds missing about.html and epl-v10.html files

Moreover, about.html and epl-v10.html are bundled with source and binary distributions.
(cherry picked from commit 43156aea529bec140af112d7b27357a719d7a3af)

Conflicts:

	org.eclipse.babel.core/build.properties
",0,0,1
"Lift root pom into the repository root directory.

Provides a more transparent architecture for tycho build scripts. Moreover, missing license headers are added.
(cherry picked from commit 6e1f55383f0af834b148f77992d251cc5c5286b7)

Conflicts:

	pom.xml
",1,0,0
"Adds missing license headers and lifts epl-v10.html from project scope to repository scope

According to the guide for legal documentation missing license headers have been added. Moreover, license files in project/plugin scope are only required if a non-standard about.html is used. Therefore, they have been lifted to the root directory.
(cherry picked from commit b7a6b2bf441fd708704db1159c13cbce92600b4d)
",0,0,1
"Clean up build.properties files
(cherry picked from commit 37533f23fb71c70eab08d9f1de091fcae1b0c400)

Conflicts:

	org.eclipse.babel.editor.nls/build.properties
	org.eclipse.babel.tapiji.tools.core/build.properties
",0,0,1
"Defines a team working set for ""TapiJI Tool Suite""
",1,0,0
"Fix wrong reference in team project set
",0,1,0
"Remove projects that have been contributed to the eclipse babel technology project
",1,0,0
"Add rbmanager.ui to tools team project set
",1,0,0
"Prepares maven pom files for building tapiji translator (RCP)
",1,0,0
"Consistently remove remaining JDT dependencies from the RCP translator's product definition
",1,0,0
"Remove remaining dependency to pdeutils from the RCP translators product definition
",1,0,0
"Cleans up the RCP translators product definition
",0,0,1
"Provide target platform for building rcp translator
",1,0,0
"Cleans up rcp target platform
",0,0,1
"Adds multi-platform dependencies to rcp translator product definition file
",1,0,0
"Adds product icons for RCP translator
",1,0,0
"Removed CDO dependency
",1,0,0
"Fixed bundle names and license information
",0,0,1
"Added update site
",0,0,1
"Removed CDO from the UI project
",1,0,0
"317535: Dynamically add parts to any part (319357)

added a prototype for marking tasks as reviews (see bug 317867)
added PartAdvisor implementation which removes uninteresting parts from the task editor and adds the review part
added a ReviewDataManager, which keeps the review data in-memory
",1,0,0
"321269, 317535

Fixed syntax highlighting in diff view
Dynamically add parts to any part (319357)
added local caching for review data
enhanced part advisor extension
removed unused classes
",1,1,1
"317535: Fixed a bug preventing submit
",0,1,0
"322734: UI Rework
- review results drop down
- review summary drop down",1,0,1
"322734: Force synchronization after submit
",0,1,0
"322734: review type identification fallback
",0,1,1
"322734: Display just the last review result for a task
",0,0,1
"322734: Re-Added comment comment part
",0,0,1
"322734: Force synchronisation after submit
After submit the task editor still shows no attachment an thus no review section.
After synchronize the task the attachment and the review display correctly.
As a workaround force the synchronization of the task and re-open the editor.
",0,1,0
"322734: display review task without result in summary table
",1,0,0
"322734: Load review data from remote task
",1,0,0
"322734: Avoid exception, when loading non-existant local cache of review data
",0,1,0
"322734: Submit of changed reviews
",1,0,0
"322734: Label for review rating and comment
",1,0,0
"322734: Open Review Compare in another editor
",1,0,0
"322734: Renamed part/section to review
",1,0,0
"322734: changed labels, border for rating comment
",1,0,0
"322734: File table spans whole width
",1,0,0
"322734: Result types in section text
",1,0,0
"Moved ""tbr"" to subfolder
",0,0,1
"Moved ""tbr"" to subfolder and added folders for other projects
",0,0,1
"331862: Move review parts back to seperate page

-Deleted old advisors
-Changed mylyn.tasks.ui dependency to 3.4
-Added old PageFactories and Pages
-Removed old unnecessary dependency
-Initial import of review dsl
-Cleanup reviews.core
-Removed old reviews model
-Removed old code
-Development, Cleanup
 -Introduced API over most accesses to Mylyn (still not complete yet)
 -Tweaked the dsl
 -Removed unused, old classes
 -Fixed namespace
-Finished namespace renaming
-Review for non-patch attachments
-Moved Review Summary to common review page
 -Removed special summary page for tasks with review sub-tasks
 -Show common review page on all tasks
 -Some cleanup and refactoring
 -Expand summary tree by default
 -Filtering for summary view
 -Uninteresting nodes can be filtered
-Abstraction for TasksUiUtil.openTask for Summary
-Further Cleanup
-Added legal headers
-Removed unused classes
-fixed plugin xml
-Summary: show creator of review
-Enable filtering by default
-Summary: Description for Task nodes
 -The changing artifacts of the task (currently only attachments - patches and other) will be displayed in the table.
-Rebased & squashed so that all files have that legal header
",1,0,1
"Allow multiple attachments for review
",1,0,0
"Hierarchical review scope

- scope table is now a tree.
- review section will be automatically collapsed if no scope is found.
- refined descriptions and types for scope items
",1,0,0
"Cleanup

-Renamed interface ReviewScopeItem
-Moved xtext setup to core
 -removed now unecessary dependencies in ui
",0,0,1
"Merge branch '331862_move_review_parts'
",0,0,1
"Fixed task mapping of results
",0,1,0
"Updated DSL to cover updated scopes

-changed DSL
-adapted ReviewTaskMapper to add all additional items from changed scopes
",1,0,0
"ReviewScope is optional
",1,0,0
"Removed stderr output
",0,0,1
"Enabled opening the corresponding task for a result node
",1,0,0
"Simplified some column handling logic

-avoid repetition of column handling,output,...
",0,0,1
"332591: hide internal api for tbr ui
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Merge branch 'master' of git://git.eclipse.org/gitroot/mylyn/org.eclipse.mylyn.reviews
",0,0,1
"Changeset based reviews

-Adapted dsl to review changesets
-Added extension to experimental versions changeset list on a seperate page
-Fixed error in dsl
-Fixed copyright headers
",1,1,0
"Removed unused plugin.xml from tbr core
",0,0,1
"Enhanced formatting of dsl
",0,0,1
"Minor cleanup

-Added correct version for version-tasks
-Fixed author name
",0,0,1
"Minor cleanup

-ignore warning about internal api
-minor reformatting
",0,0,1
"Changeset based reviews

-added scope item and review file implementations
",1,0,0
"ANTLR based dsl implementation

removed existing xtext based dsl and replaced with antlr impl.
",1,0,0
"Move versions-task bridge to reviews
",0,0,1
"Removed xtext dependency fragments
",0,0,1
"Removed TBR site
",0,0,1
"Changed versions task bridge feature ids and name
",0,0,1
"Include TBR and Versions in build
",0,0,1
"ANTLR Dsl Cleanup

Ignore recognition errors from lexer/parser
Prevented NPE
",1,0,0
"Fixed versions parent
",0,0,1
"Removed TBR from the build
",0,0,1
"TBR: Fixed artifact ids in pom
",0,0,1
"Removed feature for versions
",0,0,1
"Moved versions-task plugins to TBR
",0,0,1
"334692 fix compile errors on Indigo and include TBR in headless build
",0,1,0
"339480 Set execution environment to java 1.5
",0,0,1
"342870 TBR extension point für task changeset mapping

Initial implementation of the extension point and generic implementation.
",1,0,0
"342871 Fix findbugs warnings

Fixed all findbugs warnings reported in last build
",0,0,1
"bug 376191: NPE when opening reviews page

fixed access of map entry

https://bugs.eclipse.org/bugs/show_bug.cgi?id=376191",0,1,0
"bug 376192: Fixed error when creating a new review

use addItem method instead of getList().add

https://bugs.eclipse.org/bugs/show_bug.cgi?id=376192",0,1,0
"Minor bugfixes, cleanup

- prevent npe, when there is no repository for the project
- when retrieving all repositories for a task avoid duplicate
repositories
- deleted unused file
- refactored changeset part

Change-Id: I9e8330c9a8568100a9610bf8df48147931f4c7b0
",0,1,1
"bug 380843: index commit messages of changesets

Added an initial implementation of an index for the scm repositories.
The commit message, the revision and repository url are indexed, which
allows to search for all commits for a task in specific repositories.
Currently, the index is rebuild at the startup, which limits its use
only for smaller git projects. This should be fixed in the near future,
when a notification of repository changes is implemented, as well as
a mechanism, which determines if the repository has changed while
eclipse was not running.

Change-Id: If7aebd06dd9ca19090b2af3b5f447fe8454df7d0
",1,0,0
"Refactoring

- splitted several classes in smaller parts to improve testability
- added some javadoc and tests

Change-Id: Ic403f614c1a6ebdc2c89994e22ae01becca10e62
",0,0,1
"bug 380843: index commit messages of changesets

use iterator function to retrieve the changesets
added some more null checks

https://bugs.eclipse.org/bugs/show_bug.cgi?id=380843

Change-Id: I3484580c00372fd9276653e46ea8f552272af27f
",1,0,0
"bug 386204: Allow users to include subtasks in changeset view

Refactored part and introduced a model, which allows including subtasks.

https://bugs.eclipse.org/bugs/show_bug.cgi?id=386204

Change-Id: I94af1aa42624b69f280d8dca54c8020f877a9f45
",1,0,1
"390767: Create context from changesets

added internal extension point for contributing actions to the
changesets list.
added a new plugin, which contributes an action for populating the
context with the contents of the changeset

Change-Id: Icae78708bac4279563584b8d8aa785975e196fcb
Task-Url: https://bugs.eclipse.org/bugs/show_bug.cgi?id=390767
",1,0,0
"380843: index commit messages of changesets

Created custom filter for changesets, which works better with task
numbers like used in jira (Prefix-Number).

Task-Url: https://bugs.eclipse.org/bugs/show_bug.cgi?id=380843
Change-Id: Ice1cf8e3a558c36d9e832312a0a6259e7f6e7e86
",1,0,0
"cleanup warnings

* Fix build path issue
* Minor Cleanup for Action

Change-Id: I4e4bda10624e16d4f69545a953ae80d84939c1dd
",0,0,1
"Fix broken test

Change-Id: I15affe2d03ac77ff86e8f2ac01dde6539f6a64d9
",0,1,0
"fix tycho build errors

Running the test failed, as the mapper.tests bundle was not
resolved in the started eclipse instance.

Change-Id: I87353e410945a70029b2f7d35f15dd2134c36c40
",0,1,0
"392682: Show details for changesets

Use the ScmConnectorUi to open the correct view for the connector

Task-Url: https://bugs.eclipse.org/bugs/show_bug.cgi?id=392682
Change-Id: I98a778a7dc0edc1497194bc018536236f4f93382
",1,0,0
"DELTASPIKE-266 remove obsolete comments
",0,0,1
"DELTASPIKE-278 add category to Message API
",1,0,0
"DELTASPIKE-278 remove unecessary checks for Message return values

Why should we restrict the return value?
",0,1,0
"DELTASPIKE-278 implement the category resolving and add tests
",1,0,0
"DELTASPIKE-277 add JsfMessage API
",1,0,0
"DELTASPIKE-280 register resources under their full path
",0,1,0
"DELTASPIKE-274 fix remote container tests
",0,1,0
"DELTASPIKE-277 add first API draft
",1,0,0
"DELTASPIKE-277 first version of a JsfMessage implementation
",1,0,0
"DELTASPIKE-266 refactor JSF test setup
",0,1,0
"DELTASPIKE-277 improve graphene setup
",0,1,0
"DELTASPIKE-277 fix JsfMessageProducer
",0,1,0
"DELTASPIKE-277 add missing beans.xml
",0,0,1
"DELTASPIKE-277 fix JsfMessageProducer type detection
",0,1,0
"DELTAPIKE-277 first warp test for JsfMessage
",0,0,1
"add tomee build leftovers to .gitignore
",0,0,1
"DELTASPIKE-277 create a proper unit test and remove unused imports
",0,0,1
"DELTASPIKE-277 fix missing license header
",0,0,1
"upgrade Arquillian Drone to 1.1.0.CR3
",0,0,1
"enable checkstyle reporting on the commandline

catched by Arne
",0,0,1
"DELTASPIKE-281 add LocaleResolver for JSF projects

if a ViewRoot is available, we take the Locale from there.
",1,0,0
"DELTASPIKE-281 add unit test and fix some bugs in the locale mechanism
",0,0,1
"CDI-279 add a unit test for our JSF-2-CDI scope mapping
",0,0,1
"upgrade to more recent weld-arquillian version
",0,0,1
"move properties section to the top of the pom
",0,0,1
"upgrade tomee and openejb to released versions
",0,0,1
"get rid of empty if statement
",0,1,0
"DELTASPIKE-80 fix concurrency/visibility issue
",0,1,0
"DELTASPIKE-286 Comparators should be Serializable
",0,1,0
"DELTASPIKE-241 new weld-arquillian container fixes BDA issues
",0,0,1
"DELTASPIKE-289 add WindowContext API draft
",1,0,0
"DELTASPIKE-278 use '_' as category separator

This got done to unify this with the default JSF '_detail'
handling. So we moved from '.' as separator to '_'
",0,1,0
"DELTASPIKE-277 JsfMessage will now return the Message parameter directly

Previously we always did toString() internally. But that prevents
people from using the Message return value
",0,1,0
"DELTASPIKE-289 add WindowScoped and initial Context handling
",1,0,0
"DELTASPIKE-289 JavaDoc + make unit tests fit api packages
",0,0,1
"DELTASPIKE-289 enable WindowContext via Extension
",0,1,0
"DELTASPIKE-312 add JavaDoc warning for @Alternative scenarios
",0,0,1
"DELTASPIKE-312 remove GlobalAlternatives handling for OWB and fix tests
",0,1,0
"upgrade owb.version to 1.1.7 which is the latest released version
",0,0,1
"DELTASPIKE-312 introduce openejb.owb.version

This allows to fix the OWB version used for the cdictrl-openejb build using
-Dopenejb.owb.version=1.1.7
",0,0,1
"DELTASPIKE-157 log Test Class for @Deployment
",0,1,0
"DELTASPIKE-315 provide common EntityManagerFactoryProducer
",1,0,0
"DELTASPIKE-315 add more JavaDoc
",0,0,1
"DELTASPIKE-315 fix broken package move
",0,1,0
"DELTASPIKE-318 disable auto-scanning of bootstrap chain for OpenEJB starting
",0,1,1
"upgrade copyright to 2013
",0,0,1
"DELTASPIKE-318 remove workaround again.

This got properly fixed in OpenEJB.
See TOMEE-840 for more information
",0,1,0
"DELTASPIKE-273 fix JavaDoc
",0,0,1
"DELTASPIKE-330 adjust scoping for Window infrastructure classes
",0,1,0
"update javadoc
",0,0,1
"DELTASPIKE-339 re-apply jndi name in exception

we need this info for detecting issues
",0,1,0
"DELTASPIKE-229 improve WindowContext handling
",0,1,0
"DELTASPIKE-339 revert to gerhards version

Now I know why gerhard fixed it that way... ;)
",0,1,0
"DELTASPIKE-344 provide getContextualReference with a BeanManager param
",1,0,0
"DELTASPIKE-289 controllable WindowContext
",1,0,0
"DELTASPIKE-289 WindowContext cleanup
",0,1,0
"DELTASPIKE-289 implement ClientWindowConfig

This can be used to determine the window handling behaviour
for each request.
",1,0,0
"DELTASPIKE-289 add postback handling for windowId
",1,0,0
"DELTASPIKE-289 migrate windowhandler from CODI
",1,0,0
"DELTASPIKE-289 windowId detection code with JavaScript and intermediate page

partly ported over from MyFaces CODI, partly rewritten.
Passing the windowId via hidden input field
",1,0,0
"DELTASPIKE-289 exclude lifecycle execution if ClientWindow page gets rendered
",0,1,0
"DELTASPIKE-289 fix WindowScoped context test on jbossas

I recently removed the <h:form> which did lead to a different
component Id for the outputValue. fixed now.
",0,0,1
"DELTASPIKE-348 prepare for more ClientWindow samples
",0,0,1
"DELTASPIKE-356 fix @Dependent handling for MessageContext
",0,1,0
"DELTASPIKE-354 prevent NPE when passing null to a @MessageBundle
",0,1,0
"DELTASPIKE-363 prevent NPE at shutdown
",0,1,0
"DELTASPIKE-355 add Alternative MessageInterpolator using MessageFormatter

Simple add an <alternative> to your beans.xml where you gonna like to use it.
",1,0,0
"DELTASPIKE-356 fix JsfMessage which I broke with the refactoring
",0,1,0
"fix owb managed version handling for openejb
",0,0,1
"DELTASPIKE-365 add a boot(Map) method

This is needed to startup some containers with initial properties
if they support it.
",1,0,0
"DELTASPIKE-289 add sample ClientWindowConfig
",0,0,1
"DELTASPIKE-367 upgrade to owb-arquillian-1.2.0-SNAPTHOT

we finally need to upgrade to 1.2.0 but for now it's fine.
",0,0,1
"DELTASPIKE-208 explicitely enable global alternatives

This now works on Weld, OWB with BDA enabled, etc
",0,1,0
"DELTASPIKE-367 upgrade to final owb-arquillian-1.2.0
",0,0,1
"DELTASPIKE-339 don't lot the Exception as this is a normal operating situation
",0,0,1
"upgrade version to TLP
",0,0,1
"add release notes for 0.4
",0,0,1
"[maven-release-plugin] prepare release deltaspike-project-0.4
",0,0,1
"[maven-release-plugin] prepare for next development iteration
",0,0,1
"DELTASPIKE-378 add ProjectStageAware property handling

Main entry point for this feature is
ConfigResolver#getProjectStageAwarePropertyValue
",1,0,0
